Job Posting ID,Job Posting Date,Job Title,Job Title Full,Job Title Additional Info,Job Position Type,Job Position Level,Years of Experience,Job Skills,Job Location,Minimum Pay,Maximum Pay,Pay Rate,Number of Applicants,Company Name,Company Industry,Company Size
2748524910,2017-01-06,Software Engineer,"New Grad Software Engineer, Backend",,Full-time,Entry level,2,"cloud, microsoft, java, aws, sql, go, azure, coding","Seattle, WA",,,,29,Circle,Financial Services,51-200 employees
2684300915,2017-01-06,Business Intelligence Analyst,Senior Business Intelligence Analyst,,Full-time,Associate,5,"unix/linux, alteryx, database, ssis, scrum, pl/sql, cloud, unix, dax, json, shell, power_bi, sas, aws, agile, redshift, python, tableau, etl, looker, xml, vb.net, aurora, snowflake, sql, server, bi, azure, c","Blue Bell, PA",,,,,Anexinet,Information Technology & Services,201-500 employees
2656640785,2017-01-06,Data Engineer,Senior Data Engineer,"Remote, Full-time",Contract,Mid-Senior level,6,"cloud, aws, azure","Lanham, MD",,,,1,Toptal,Internet,"1,001-5,000 employees"
2683505839,2017-01-06,Data Scientist,Data Scientist,"Remote, Full-time",Contract,Mid-Senior level,6,,"Indianapolis, IN",,,,,Toptal,Internet,"1,001-5,000 employees"
2700267871,2017-01-06,Compensation Analyst,Senior Sales Compensation Analyst,,Full-time,Mid-Senior level,8,"excel, oracle, sap","South Carolina, United States",,,,,Blackbaud,Computer Software,"1,001-5,000 employees"
2689561899,2017-01-06,Software Engineer,Software Engineer,SaaS Management,Full-time,Entry level,3,"graphql, datadog, python, docker, saas, redis, golang, go, postgres","Idaho, United States",,,,1,SailPoint,Computer Software,"1,001-5,000 employees"
2714545770,2017-01-07,Software Engineer,Remote Senior Software Engineer,,Full-time,Mid-Senior level,7,"cloud, saas, aws, python","San Francisco, CA",,,,1,Jobot,Staffing & Recruiting,201-500 employees
2709155801,2017-01-07,Software Engineer,Software Engineer,100% Remote,Full-time,Associate,3,"github, git, microsoft, cloud, java, aws, agile, coding, programming, cicd, sql, server, azure, c",United States,,,,1,Dice,Internet,"1,001-5,000 employees"
2727659059,2017-01-07,Software Engineer,Software Engineer,,Full-time,Mid-Senior level,3,"database, datadog, cloud, javascript, agile, jira, saas, mongodb, c, java, sql, azure, jquery","Florida, United States",,,,,Trimble Inc.,Information Technology & Services,"10,001+ employees"
2746622436,2017-01-07,Software Engineer,Staff Software Engineer,Freckle by Renaissance,Full-time,Associate,6,"agile, saas, css, programming, backend, aws, postgresql",United States,,,,2,Renaissance Learning,E-learning,"1,001-5,000 employees"
